,airline_sentiment,text
4909,positive,@SouthwestAir for the win as always- saved my day and got me on a direct to Orlando. 🎉🎉🎉
4910,positive,@SouthwestAir de-icing is important!
4911,positive,@SouthwestAir THANK YOU for finally making your boarding passes work with passbook
4912,positive,"@SouthwestAir I love and appreciate the fact that you guys rarely Cancelled Flight flights and are on time, but I need a Cancelled Flightlation this time. 🙏"
4913,negative,@SouthwestAir  flight at 630 from fll kiosk just opened. Rude attendants because now everyone is Late Flight. http://t.co/2Boh2Mh3cb
4914,negative,@SouthwestAir why is your website downnnnn :( ugh
4915,negative,@SouthwestAir will you please tell me if I'll make my flight out of here tomorrow 8am? I've been tryin for 3 days now to leave
4916,negative,@SouthwestAir Had a bad experience with them last week.  They broke my bicycle that I had brought with me to do a bike ride in Fla.  Why?
4917,negative,“@SouthwestAir: @TinaIsBack I'm so sorry for your frustration. Did you get rebooked? ^SW” I've been rebooked 4 times!! Still stuck!! #SMH
4918,negative,@SouthwestAir 75 minutes and still waiting for skis to be unloaded. You should be ashamed. It's 1:30 in the morning.
4919,positive,"@SouthwestAir neveind, it's been found and on its way. Thanks for making the process so painless"
4920,positive,@SouthwestAir @JohnWayneAir Thank you both very much!!
4921,positive,@SouthwestAir you are the #Official airlines of #DivadaPouch aka #ThePoopQueen http://t.co/XXY2d2iMnP
4922,positive,"@SouthwestAir Once again, I was able to change my flight without any fees... oh and the two free checked bags.  Best airline ever."
4923,positive,@SouthwestAir A wonderfully nice agent in Austin helped us out. Wish I remembered her name to give proper kudos.
4924,positive,@SouthwestAir hot stewardess flipped me off
4925,negative,"@SouthwestAir where are our bags?
We have a tv show to film!!"
4926,negative,"@SouthwestAir I am scheduled for the morning, 2 days after the fact, yes..not sure why my evening flight was the only one Cancelled Flightled"
4927,negative,"@SouthwestAir update 35 minutes into this pilot has turned off a/c. No longer freezing, but we are enjoying waiting for reload of all bags"
4928,negative,"@SouthwestAir It seems odd to be sitting on a plane that gets further delayed and you find out by txt, not the 6 emp working on the aircraft"
4929,negative,"@SouthwestAir really enjoying sitting at BWI with the door wide open and the a/c on as they fix a ""baggage error"" #sarcasm"
4930,positive,@southwestair Flight 4146 Phi to Den was staffed by a great crew. #freecomedyshow #newlifetimecustomer
4931,negative,@SouthwestAir Engadget Theverge Wired reddit
4932,negative,"@southwestair,  Your male flight attendants must being playing a game called Who can be the Bigger Dick to People. Flight 952 to CHI-MID"
4933,negative,@SouthwestAir when you're on hold with southwest for over 2 hours and it automatically hangs up on you. #iusedtoloveu http://t.co/tEFHpuWMdJ
4934,positive,@SouthwestAir has the best customer service!
4935,positive,"@SouthwestAir big thanks to your team. family emerg, same day ticket, experience was excellent. 1st time flying with yall, not my last!"
4936,negative,@SouthwestAir this was the 3rd Cancelled Flightlation in 2 days due to weather in Nashville. 3 trips to the airport. Each time communicated Late Flight by SW
4937,negative,@SouthwestAir I left my iPad on my flight 1831 from ERW to DEN. I opened claim 442998. It has so many memories on it. Plz help get it back.
4938,negative,@SouthwestAir   Yes. Dale at Baggage office was wonderful. But not everyone is on the same page down there... We had a 6 hour wait!
4939,negative,@SouthwestAir No one wants to commit to saying if this plane is getting Cancelled Flighted or not. Customer relations is closed. Patience gone.
4940,negative,"@SouthwestAir  Tried to leave Monday, all other planes left but mine. Now this one keeps getting delayed. Missed work. Have to pay for a cab"
4941,positive,"@SouthwestAir - total win!! Happy 7th bday on intercom, chocoLate Flight kisses, and a chance to hand out snacks.Thank you. http://t.co/NKloZcNtto"
4942,negative,@SouthwestAir My luggage has still not been found. Luggage is not scanned until final destination. So no way of knowing where it is!
4943,positive,@SouthwestAir thanks for your excellent response time and assistance! All set :)
4944,negative,@SouthwestAir Finally got through after 3 hours and all set. Thanks.
4945,negative,@SouthwestAir I did ....it's just been such a disheartening experience for me and my family...and a lot of taxi money wasted.
4946,positive,@SouthwestAir can't wait! Thanks for the response!❤️
4947,positive,@SouthwestAir Got it covered. Thanks!
4948,negative,@SouthwestAir please help on hold forever to check in for flight
4949,negative,@SouthwestAir my sister and her family had to drive 1200 miles because you did not accommodate a rebook in a timely manner! HORRIBLE
4950,negative,@SouthwestAir can't believe how many paying customers you left high and dry with no reason for flight Cancelled Flightlations Monday out of BDL! Wow.
4951,positive,@SouthwestAir thank you for your help resolving my problem Shannon ROCKS - even though Rhonda didn't !!
4952,positive,@SouthwestAir thanks!! We will see what happens!!
4953,negative,".@SouthwestAir I appreciate that, and not to be rude, but it doesn't solve much. You should AT LEAST cover the cost of stolen goods."
4954,negative,@SouthwestAir you're 4/4 on blowing it with your customer service. Shotwest Airlines.
4955,positive,@SouthwestAir Glad it was finally resolved too. Too bad I can't get a free voucher to go with mine so I can have a friend travel next time!
4956,negative,@SouthwestAir she made it standby after her flight was Cancelled Flighted for no reason. Almost 4hrs Late Flight.  Conf# FVF9YW  SWRR# 298033455
4957,negative,"@SouthwestAir very frustrated with your customer service.Open seats on earlier flight, $154 to change. What a rip off!!"
4958,positive,@SouthwestAir all good now. Going to make it to Boston on time. I'm actually on your wifi right now
4959,negative,"@SouthwestAir  you are over 40, please start acting your age and stop with the short-shorts!"
4960,positive,@SouthwestAir thanks for your assistance..you guys ROCK!!💯
4961,negative,@SouthwestAir no self help way to put in tsa pre check number for existing reservation. Very annoying. 800 is not reachable.
4962,negative,@SouthwestAir Why won't you let me leave Newark!?
4963,positive,"@SouthwestAir Hey yea I got thru...everything is good now (well, in 7-10 days when the voucher goes through)  Appreciate it!"
4964,negative,"@SouthwestAir I was in Nashville and I had to drive 3 and a half hours to Memphis, but I made it as the plane was loading!"
4965,negative,"@SouthwestAir According to TV passenger interviews, the landing was far from ""uneventful"" with heavy (panic) breaking to"
4966,negative,@SouthwestAir what are the chances you will be Cancelled Flighting all flights in and out of Nashville again?
4967,negative,@SouthwestAir  why are you the only airlines to Cancelled Flight all flights into BNA? Been stranded in philly for 2 days. Hoping to get out in the AM
4968,negative,@SouthwestAir not very helpful trying to get out of Nashville.Should waive change fee for 2/18.
4969,negative,"@SouthwestAir thanks, but they told him he couldn’t a few hours ago, then my plane left  after I tried to do it. Stuck waiting for hours now"
4970,positive,@SouthwestAir On my flight today from RSW to GRR I was able to snag a free SW Agent to check for me. It looks like we are (finally) all set.
4971,positive,"@SouthwestAir Yeah, we figured it out.  Thanks."
4972,positive,@SouthwestAir thanks for the drink tickets hook up! Can't wait for my first international flight with you to NAS! #pumped
4973,negative,@SouthwestAir took our carryon bag with essential attire for a life changing interview tomorrow &amp; it's not here; can we expect compensation?
4974,positive,"@SouthwestAir Hi! I just saw a Black History month commercial on TV &amp; Im excited! In support of this month,will you all grant me 1 free trip"
4975,negative,@SouthwestAir took our BOS to BWI plane for a flight to StL and promised a replacement  1.5 hours Late Flightr. Now 2.5 hours delayed. Not happy.
4976,positive,"@SouthwestAir though I work for another major airline,  I LOVE your Black history month commercial. I Thank you."
4977,negative,@SouthwestAir No. We were in a large group. Majority of the 30+ bags were soaked.
4978,positive,@SouthwestAir Black History Commercial is really sweet. Well done.
4979,negative,@SouthwestAir even with the 50$ voucher for picking up my bag
4980,negative,"@SouthwestAir there... from my first interaction with your people this morning, after bad weather, sorry but I wont be flying with you again"
4981,negative,@SouthwestAir yeah they told me it would be on the next flight. I drove down and it wasnt. I just drove down for a second time and they were
4982,positive,@SouthwestAir much respect!
4983,negative,@SouthwestAir it's not letting me DM you !!
4984,positive,@SouthwestAir Thank you!  #thankful #feelingtheluv
4985,negative,@SouthwestAir Im just praying you get me home alive
4986,negative,@SouthwestAir I hope you're happy! You have officially become the next @AmericanAir #ProfitBeforePeople IMO you will be bankrupt by 2020
4987,negative,@SouthwestAir what's up with these delays?! Throw some priority boarding my way &amp; I'll forgive you!! 👍 #southwest #southwestairlines
4988,positive,@SouthwestAir I got it added thank you! :)
4989,positive,"@SouthwestAir Great, thank you. Best of luck dealing with this horrible winter."
4990,positive,@SouthwestAir thank you :-)
4991,negative,@SouthwestAir needed my flight info so I can add my rapid rewards to my flight ... First time I have flown with SW - won't do it again #mad
4992,negative,"@SouthwestAir I keep getting disconnected after choosing the option ""unused travel funds"" on your automated customer service line! SOS"
4993,negative,@SouthwestAir Being old I will miss my connection and can sleep at OAK or get a hotel on my own dime rubs me the wrong way. I wasn’t Late Flight.
4994,negative,@SouthwestAir Not your finest moment in Boston right now!
4995,negative,"@SouthwestAir MY BAGS ARE. 1st woman said it would be there on the next flight... not there, so now Ive got nothing. Big wigs help me out"
4996,negative,"@SouthwestAir no, thanks. I think we have it straight!"
4997,positive,@SouthwestAir Thanks for taking care of me Today!  Michele rocked the customer service! Gate 25 HOU
4998,negative,@SouthwestAir paid for my own $200 rental car just to not go through this for the 3rd day  :(
4999,positive,@SouthwestAir I did. Thank you.
5000,negative,@SouthwestAir thanks! I expected a wait... Just not that long. :)
5001,negative,@SouthwestAir understand weather is an issue but on time Cancelled Flighted reinstated Cancelled Flighted with hardly any updates and doing nothing for me= :(
5002,positive,"Despite Mother Nature's best efforts, @SouthwestAir's good-humored folks got us home safely in an area heavily affected by winter storms."
5003,negative,@SouthwestAir sadly didn't get much help ... As a travel agent this is so disappointing to me.
5004,negative,"@SouthwestAir bos to msp, msp to aus, aus to bos. Site doesn't seem to display fields for the middle trip when I add the 3rd."
5005,negative,@SouthwestAir me not to be able to rebook another flight. Drove to ATL to catch a flight.... Was charged $40 just to get the a group I had
5006,negative,@SouthwestAir has the worst customer service on earth. Will never fly that airline again.
5007,negative,@SouthwestAir flight yesterday Cancelled Flighted. Got to airport 4am today for an on time flight w was delayed Cancelled Flighted than reinstated which caused
5008,negative,@SouthwestAir Flight 4968 (N8325D) departs @MCO enroute to @NO_Airport http://t.co/fd4SnvKIeM
5009,positive,@SouthwestAir Awesome - thanks!
5010,negative,@SouthwestAir @poisonpill76 im in same boat.. 8am flight to Jacksonville... Get me out of here!!
5011,negative,@SouthwestAir I'm concerned that you will Cancelled Flight my flight out of BNA tomorrow am. Should I be?
5012,positive,"@SouthwestAir really appreciate the follow up, I always fly with y'all for a reason!"
5013,positive,@SouthwestAir All pieces were found and safely delivered to our home this afternoon.
5014,negative,@SouthwestAir stop ur bs promos of ✈️anywhere starting at 79$ I click and everywhere I'd fly=130$ The only place thats 79$ is CLE #NoThanks
5015,negative,@SouthwestAir I know one thing @Delta would NEVER treat their customers like this!!!!
5016,negative,@SouthwestAir why are yall trying to fly me to Chicago when I don't live there?! Send me home now!!!! Bullshit ass customer service
5017,negative,@SouthwestAir 4 flights Cancelled Flightled in one week?! Customer Service is 💩💩💩💩
5018,negative,@SouthwestAir I have had 4 flights Cancelled Flightled through yall!!!! Im sick of it 😠😠
5019,negative,@SouthwestAir very poor customer service thru out each of my cxl flights😔 I should've flew @Delta
5020,negative,@SouthwestAir what's yall corporate number bc yall are not trying to accommodate me at all!!!
5021,positive,@SouthwestAir El Paso deals....May❤❤❤😍🌏
5022,negative,"@SouthwestAir can't checkin online for 2:00 flight tmrw fr. Cancun. ""Undefined error"" &amp; 800# not working.Family of 4 don't want Cgroup! Help"
5023,negative,@SouthwestAir Does anyone ever answer your phone? #poor
5024,negative,@SouthwestAir we are 2 mins from departure of 4125 and no announced update nor an update to on time status. Everyone just standing. #comeon
5025,negative,@SouthwestAir can I get any kind of update on the delayed flight from Boston to Houston at 7:30? Really need to be back home tonight!
5026,negative,@SouthwestAir @Matt_e_Boss how long did you have to hold? We waited 35 minutes and gave up
5027,negative,@SouthwestAir Any plans to make the southwest app for Android not crappy?
5028,positive,@SouthwestAir Thanks. I'll keep checking. I'm trying to book our first Disney World vacation.
5029,negative,@SouthwestAir thanks for taking such good care of my luggage... http://t.co/PIvxean3jY
5030,negative,"@SouthwestAir yeah, all 4 are rebooked for tomorrow AM. Hoping the 3rd time is a charm for no Cancelled Flightled flights!"
5031,positive,@SouthwestAir Thank you. I know ya'll can't control the weather. I appreciate ya'll working to get my flight rebooked the last two days.
5032,negative,@SouthwestAir can you make a premium wifi that I can pay $30 for that is decent? #slow-fi
5033,positive,@SouthwestAir About time...and just in time for my next flight Thursday.
5034,negative,@SouthwestAir extremely #disappointed with poor the customer service provided after Cancelled Flighting my flight today! #unprofessional
5035,negative,"@SouthwestAir I was helped by a nice lady at PHX checkin. I spent 4 hours on hold in 24 hours, so might want to look at efficiency there."
5036,negative,@SouthwestAir I told myself last time I would never fly you again. I really messed up today. Thanks flight 1802. Worst airline ever
5037,negative,@SouthwestAir done messed up now!!! I have planned a trip to #CostaRica for pennies!!! #VacaTime ✈️💺
5038,negative,"@SouthwestAir not as sorry as I was when I sat on a plane for 3 hours waiting for the engine to be fixed and THEN got my luggage lost, but k"
5039,negative,@SouthwestAir I did but it only shows one flight one way. When I try to go to the home page and book roundtrip there's nothing available :(
5040,positive,@SouthwestAir No worries at all!!! I would rather be safe on the ground than take any chances. Yes! Tomorrow AM if BNA reopens ☺️
5041,negative,@SouthwestAir I do need help Cancelled Flighting my flight back. Your calls times are ridiculous.
5042,positive,@southwestair #fattuesday Great job celebrating #mardigras today at Atlanta Airport. Another reason I'm nuts for you! http://t.co/8WBzOrRn3C
5043,negative,"@SouthwestAir your customer service is terrible, you're terrible, thought you should know."
5044,positive,@SouthwestAir Awwweesssooomee!
5045,negative,@SouthwestAir my pts expired. I made a prchase @ an online retailer to b told by SW that those won't show for 6-8 wks so too L8 2 keepmy pts
5046,negative,@SouthwestAir You officially have the worst customer service of any airline I've ever dealt with. #southwestairlines #poor
5047,negative,@SouthwestAir Fastest response all day. Hour on the phone: never got off hold. Hour in line: never got to the Flight Booking Problems desk.
5048,negative,@SouthwestAir had to rebook through Atlanta &amp; now drive to #Nashville. Had to pay ridiculous price difference. Bad weather good for business
5049,positive,@SouthwestAir Amazing customer service as well. Will definitely fly with you guys again if my instrument is involved. #10/10
5050,positive,"@SouthwestAir your social media team just said ""sorry"". Thankfully submitting a complaint got resolution from an amazing rep who called."
5051,negative,"@SouthwestAir flight 1613 Cancelled Flightled??? My wife is stuck in Phoenix on the way from slc to san
Thanks a lot southwest!"
5052,negative,@SouthwestAir I never got a Cancelled Flightlation text from this morning either #bushleague or a number to call #weakservice
5053,positive,@SouthwestAir knows whats up! That #BlackHistoryMonth commercial. Just another thing to add to reasons why I fly with #SouthWestAirlines
5054,negative,@SouthwestAir too Late Flight now
5055,negative,@SouthwestAir no but seriously wtf? #nochill http://t.co/esd3XD5V1r
5056,negative,@SouthwestAir Yes but they couldn't explain the 2 hour and 45 minute hold time.
5057,negative,@SouthwestAir MCO-&gt;DCA flight almost full of people screwed by the MSY-DCA Cancelled Flightation. @united and @USAirways didn't Cancelled Flight. SWA=mistake.
5058,positive,@SouthwestAir your employees were great!
5059,negative,@SouthwestAir: why no charging station in SAN?
5060,positive,"@SouthwestAir thanks for the reply, something is off with the phones becuz after 2 dropped calls at 2 hours on hold, I got through on 1 ring"
5061,positive,@SouthwestAir Thank you for the vouchers after the long wait on the runway Saturday night at BWI! I really appreciate it! #SWfan
5062,positive,@SouthwestAir JH thank you. I finally got through the second time.
5063,negative,"@SouthwestAir 4/9/14, I need to fly from GSP to DSM, but claims there's no sched. avail.  I can book separately, but why not together?"
5064,negative,@SouthwestAir Thank you - hung up after 1hr 7min on hold. Would you like me to DM you contact info?
5065,negative,@SouthwestAir your checkin system is #poor
5066,positive,"@SouthwestAir haha, thanks for the explanation"
5067,negative,@SouthwestAir Having some trouble checking in. Can you please add me so I can DM you
5068,negative,@SouthwestAir WiFi on yesterday's flight extremely slow a waste of $8 and lost the travel time for work.
5069,negative,@SouthwestAir my flight was Cancelled Flightled Monday.  Just looking to Cancelled Flight and credit my card.  That's all.
5070,negative,@SouthwestAir still on the ground &gt;30mins after planned departure. And this is California. No weather here. Originally told 10 min delay.
5071,negative,@SouthwestAir not yet! Supposed to get it early evening tonight. Don't want to have to go to the store and buy new necessities.
5072,negative,@SouthwestAir How? It is not possible to call SWA on the phone. You put me on hold for an hour and then cut me off.
5073,positive,"@SouthwestAir been with my GF for 2.5yrs, she's from SF &amp; I live in Tulsa. SWA always takes me there to see my love! #SouthwestLuvSweeps"
5074,negative,@SouthwestAir Nashville airport has runways open. It appears southwest is only airline Cancelled Flighting flights. Is this likely to change?
5075,negative,"@SouthwestAir been on the phone for about an hour waiting..can you please answer, Thank You!  #notcool"
5076,positive,@SouthwestAir Sent. Thanks VP!
5077,negative,"@SouthwestAir she's still stranded in DC. Sat until 3:30am with 100 other kids. They were starving, and exhausted."
5078,negative,@SouthwestAir flight #211pilot spilled his tea on the radio! Yay for delays! Almost an hour now!
5079,negative,@SouthwestAir I just sent it over
5080,positive,@SouthwestAir Thank you so much for stepping up your game and making my day after night of elevator music. Much appreciated.
5081,negative,"@SouthwestAir used to love you, but you keep rescheduling my flights.  #southworst"
5082,negative,@SouthwestAir where do we start? I've already wasted 1.5 hrs of phone wait time already :-(
5083,positive,@SouthwestAir - just talking to customer service @united makes me appreciate you even more!  They could learn so much from you!
5084,negative,"@SouthwestAir My brother &amp; his girlfriend’s flight Cancelled Flightled 3 times, now leaving 72 hours Late Flight and dropping letter grades at school. Help?"
5085,positive,@SouthwestAir Thanks for the response. Was able to get my situation resolved. Not a fan of Mother Nature today. :)
5086,negative,@SouthwestAir you Cancelled Flightled my flight to BNA. I have flight from BNA 2 MDW tomorrow AM. You stranded me in DEN. I've been on hold all day
5087,positive,@SouthwestAir thanks I think we've got it figured out
5088,negative,"@SouthwestAir missing out on over 6,000 points in one account. They're now spread over four assuming I create accounts for them"
5089,negative,"@SouthwestAir right but the point was that my kids don't fly often, but I do. I bought four round trip tickets from DtW to PHX so I'm...."
5090,positive,"@SouthwestAir I got a flight at 11:55am on Thursday but looking for something tomorrow, anything available?"
5091,positive,@SouthwestAir got it squared away. Thank you. I had a man on the inside help me out!
5092,negative,@SouthwestAir please PM me the number where I can lodge formal complaints. Thx
5093,negative,@SouthwestAir good thing we noticed because she had re-routed 7 total passengers on an impossible triple connection as well
5094,negative,@SouthwestAir your gate agent re-routed an impossible itinerary and we had to find a new airline to get us home. Super bummed about this
5095,negative,@SouthwestAir do you do auto callbacks so I don't have to wait on hold?
5096,negative,@SouthwestAir Received email w/reso's to my email that isn't associated to SWA account I own with CC info for my sister. #FRAUD please DM me
5097,negative,@SouthwestAir Your onboard wifi is so bad it's taking me 20 minutes to send this tweet.  Working is off the table. #disappointed
5098,positive,"@SouthwestAir Another great flight &amp; crew, Las Vegas-Chicago #3397. Thanks!"
5099,negative,"@SouthwestAir I recommend upgrading your IVR and using call back, email, and texting from a know caller."
5100,negative,@SouthwestAir an entire flight of luggage missing at #dca.  Over an hour and nobody knows anything.
5101,negative,@SouthwestAir @CBSsoxfan you get to hold? called twice only to be kicked off.calls 3-6 #phonedied #AListpreferred http://t.co/1TZZ0vbMbS
5102,negative,@SouthwestAir why are you the ONLY airline that is not flying out of BNA today?
5103,positive,@SouthwestAir finally got through. Thanks!
5104,negative,"@SouthwestAir - I have spent 87 minutes (and counting) on hold w/ you today. After first 48 minutes, I gave up. Trying again &amp; on 43rd min."
5105,negative,@SouthwestAir Ive had on an airline. Everyone else has been great but she soured the whole experience for me. Hope she's not there next time
5106,positive,"@SouthwestAir thanks, got put on the am flight tomorrow.  Don't have much faith it'll get off the ground tomorrow though."
5107,negative,@SouthwestAir I think I'm shot. Can't find a flight that arrives before business (SAN) on thu. Really want to go too.
5108,negative,"@SouthwestAir the woman working the counter in philly at 630 this am needs to be fired. Due to bad weather, I along with other passengers"
5109,negative,"@SouthwestAir was earlier, for reFlight Booking Problems flight I'm on now. Didn't get a screencap, just said ""unspecified error"" and to call SWA"
5110,negative,"@SouthwestAir Buying Early Bird was pointless. You moved me to a diff flight b/c first one was delayed, so I lost my boarding position."
5111,negative,"@SouthwestAir is there a problem with the website? I tried making changes w/ the app and the site but got ""unspecified errors"""
5112,positive,@SouthwestAir @PaytonTaylor129 I love Southwest and Payton Taylor!
5113,negative,@SouthwestAir super disappointed today. First time we've had to stress and now book a flight on another airline while at the airport
5114,negative,@SouthwestAir they put me on the next flight available.. tomorrow morning :( Any idea if BNA will be open in the morning for my flight?
5115,negative,@SouthwestAir Hey SWAir- a very tortured boarding on flight 1971 due to one gate agent having to board assisted folks one at a time.
5116,negative,@SouthwestAir I understand a delay but to be stuck on the plane longer than the flight is unacceptable
5117,positive,@SouthwestAir no worries. You're doing the best u can. Already Cancelled Flighted my biz trip. Still $LUV you! -RR 1079871763
5118,negative,@SouthwestAir in my 30 years of flying I have never been so pissed off.  To many incidents for just one flight.
5119,negative,@SouthwestAir Heard apology ~45 times in the &gt;60 mins I was on hold. Now flying from another airport at a different time but delayed AGAIN
5120,negative,@SouthwestAir I will.make sure to tell everyone I know about this all around horrible experience. I will also post it on my business page.
5121,negative,@SouthwestAir and currently as im bringing my 3 year old to the bathroom I'm being rushed by the flight attendant.
5122,positive,@SouthwestAir no worries. We got thru eventually. I was just curious. Best of luck to you dealing with the weather!
5123,negative,"@SouthwestAir not terribly inspired to call ""customer service"" in the future now."
5124,negative,"@SouthwestAir also, they said they couldn't even book the flight. They were having to put me on hold &amp; have someone else do it???"
5125,negative,"@SouthwestAir the person I talked to couldn't do anything not normally available online other than the ""no charge"" part."
5126,negative,@SouthwestAir can someone help me set up a callback today?
5127,negative,@SouthwestAir how about when there are Cancelled Flightlations you just have a link to rebook like you did for initial storm issues?
5128,negative,@SouthwestAir there really should not be guidance to call via phone if you are that back logged. I could have done it online in 3 minutes.
5129,negative,@SouthwestAir no had to rebook my flight myself and am about to board in bham.
5130,negative,@SouthwestAir please send me a number to call to talk to a person and not be put on hold
5131,negative,@SouthwestAir flt 648 from Buf to MCO. Conf#FGKXV5. Please also look into reimburse for car 587701925COUNT that I had to Cancelled Flight
5132,negative,@SouthwestAir Almost 2 hours on hold now. I just need to Cancelled Flight a flight and get a refund. Other airlines are operating!
5133,negative,@SouthwestAir You need to be more accommodating to your loyal customers. Not happy now!
5134,positive,@SouthwestAir yes. Thank you. Oct 25-oct 31
5135,negative,@SouthwestAir @BernhardtJH I did eventually get through but that flight Cancelled Flightled.  Decided to drive but gave up holding to process refund
5136,negative,"@SouthwestAir worst customer service, Terrible attitudes. I don't care how big a storm.  Your employees need an attitude adjustment"
5137,negative,@SouthwestAir Flight Cancelled Flightled out of BNA.... Do I have to reschedule now or can travel funds be put back into my account for future use?
5138,negative,@SouthwestAir are you kidding me?  I needed help yesterday. I'm now landed and waiting for my connection.  Never will I fly southwest again!
5139,negative,@SouthwestAir can i have my bags back   ding!!
5140,negative,@SouthwestAir yeah bruh its bool y'all niggaz just need to hire some more workers or something cause next time imma be forced ta disrespect.
5141,positive,@SouthwestAir always when I fly SW. #loyalRRmember
5142,positive,"@SouthwestAir thank you, someone finally answered and was able to change my flight that was Cancelled Flighted bc of ice. Thank you for response"
5143,negative,@SouthwestAir Trying to add my dog on the flight but can't get through.
5144,negative,@SouthwestAir I need to request a refund on my flight that was Cancelled Flightled this morning due to the weather.
5145,positive,@SouthwestAir Thanks a ton!
5146,positive,@SouthwestAir LUV Ya Too!!!!  I will sing a song for y'all when I finally get on that plane back to Nashville!!! #LOVESOUTHWESTAIR
5147,positive,@SouthwestAir is having a sale! I'm delighted!
5148,positive,@SouthwestAir about time! Thank you!
5149,positive,@SouthwestAir Finally! Integration w/ passbook is a great Valentine gift - better then chocoLate Flight. You do heart me.
5150,positive,@SouthwestAir you guys are awesome... #dontchangeathing #luv
5151,positive,@SouthwestAir Karen with customer service was very helpful. Thank you for providing one bright spot in a frustrating situation.
5152,negative,@SouthwestAir Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter? thanks you.
5153,negative,@SouthwestAir Thank you.  Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter?
5154,negative,"@SouthwestAir can you follow me? Flight Cancelled Flightled, can't rebook online, been on hold for 2 hours.  Would love to DM flight info. Thank you."
5155,negative,@SouthwestAir I also find it ridiculous that I've been tweeting to you since 3:50 AM EST and have still received no response. 9 hours?
5156,negative,@southwestair Thanks. Yes I got through. Biggest frustration is that I'm no longer able to check in online for my flight after 4 Cancelled Flights.
5157,negative,"@SouthwestAir why are flights still getting out of Logan now? You couldn't manage to get one out at 6 AM, when it wasn't snowing!"
5158,negative,@SouthwestAir 45mins wait on the phone with no option for a callback? Finally had to hang up because my phone was dying. #customerservice
5159,positive,@SouthwestAir and thanks!
5160,positive,"@SouthwestAir its all good. flight eventually took off, and landed safely. oh, and I got the free cup o wine. thx"
5161,negative,@SouthwestAir no flights out of #nashville today? Are you kidding me?!?! Why are other airlines flying and you're not?! So frustrated!!
5162,negative,@SouthwestAir I'm trying to change a family vacation due to Measles outbreak and haven't been able to get anyone on the phone. Any help?
5163,positive,.@SouthwestAir you've got a mess here at DTW but your staff is doing great.
5164,negative,@SouthwestAir @challemann flying to LGA in the dead of winter? #jvstatus EWR &amp; JFK is always the intelligent option.
5165,positive,@SouthwestAir Great job with the Passbook integration! It’ll really help streamline the commute to San Fran! 😊☕📲✈
5166,negative,@SouthwestAir I need to reschedule a flight and I've been on hold for almost an hour. This is ridiculous. Is there a best number to call?
5167,negative,. @SouthwestAir condescension must be a quality your co rewards. Your tone reeks of it
5168,positive,@SouthwestAir Great job!! Looking forward to my next trip being able to use this new feature!
5169,negative,"@SouthwestAir disappointed with customer service right now, my flight was only one Cancelled Flightled at my airport &amp; now I'm losing 2 days from trip"
5170,negative,"@SouthwestAir been on hold for over an hour.....not cool, you guys."
5171,negative,@SouthwestAir I've been on hold for an hour &amp; a half trying to change my flight to BNA. Not very happy with customer service right now!!!!!!
5172,negative,@SouthwestAir thank you. I was given this same reply 2 years ago. Can you direct me to an area I can learn more about the improvements?
5173,negative,@SouthwestAir just disconnected my call after 2.5 hours without even speaking to me. #octaviannightmare
5174,negative,@SouthwestAir injured at check in yesterday. U told me to go to dr. on hold with SWA for over hour trying to talk with someone. suggestions?
5175,negative,@SouthwestAir Trying to get through by phone to confirm that funds from a Cancelled Flightled reservation can still be used in the future. Can u help?
5176,negative,"@SouthwestAir have you considered adding the ""we'll call you back when we have someone free"" feature to your support line?"
5177,negative,@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!
5178,negative,"@SouthwestAir I've been on hold for an hour now. 59:57 as I type this. Ridiculous! All I need is the link to the chart that has routes, time"
5179,negative,"@SouthwestAir Flight Cancelled Flightled, reFlight Booking Problems online has not worked, on my second round of hold (3 hrs now). Any other options?"
5180,negative,@SouthwestAir kudos to the #RSW CS crew for re-routing PAX to alleviate Over sale due to down graded EQP 800 now 500
5181,negative,@SouthwestAir do you not try to get customers to their destinations? No help to get on another airline if you had no flights for 3 days?
5182,negative,"@SouthwestAir I'm an A-list Preferred customer and very loyal SWA. However, your inflight wifi is no better today than it was 4 years ago."
5183,positive,@SouthwestAir  Thank you.
5184,negative,"@SouthwestAir too bad I'm getting this memo: ""Your reservation contains modifications that prevent you from changing it online."" #FUSTURATED"
5185,negative,"@SouthwestAir almost 2 hours on hold, 2 hours of my life I can't get back.... Thanks http://t.co/IyUZM2PUVS"
5186,negative,@SouthwestAir discount for three delays?
5187,negative,@SouthwestAir tried online and told I must call b/c of modifications to my reservation. Been on hold for almost 2 hours.
5188,positive,@SouthwestAir + @twitter  = outstanding customer service!  Thank you!
5189,positive,@SouthwestAir finally!
5190,negative,@SouthwestAir has the WORST customer service of any airline I've ever flown.
5191,negative,@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.
5192,negative,@SouthwestAir Hi-My flight (BNA to LGA) was Cancelled Flighted this morning--#1814. Looks like other flights out of BNA are taking off. Any chance?
5193,negative,@SouthwestAir Cancelled Flightled my flight out of BNA today. Been on hold for an hour. 😠 #frustrated!
5194,positive,"@SouthwestAir Beautiful, thanks a ton!"
